id,ai_papers
https://openalex.org/I100005738,1282
https://openalex.org/I100019715,1
https://openalex.org/I100051649,52
https://openalex.org/I100063501,92
https://openalex.org/I100066346,2681
https://openalex.org/I100072489,148
https://openalex.org/I10008193,126
https://openalex.org/I100084298,4
https://openalex.org/I100086675,30
https://openalex.org/I100098275,16
https://openalex.org/I10011244,207
https://openalex.org/I100116408,51
https://openalex.org/I100135526,158
https://openalex.org/I100148100,13
https://openalex.org/I100162341,18
https://openalex.org/I10017102,2
https://openalex.org/I100188998,1515
https://openalex.org/I100191712,24
https://openalex.org/I100205273,189
https://openalex.org/I100228500,6
https://openalex.org/I100236772,11
https://openalex.org/I10024668,57
https://openalex.org/I100248960,38
https://openalex.org/I100286613,322
https://openalex.org/I100288624,26
https://openalex.org/I100296615,147
https://openalex.org/I100301340,4
https://openalex.org/I100352790,7
https://openalex.org/I100357981,86
https://openalex.org/I100406981,39
https://openalex.org/I100445878,136
https://openalex.org/I100467132,1
https://openalex.org/I10052268,645
https://openalex.org/I100532134,655
https://openalex.org/I100538780,46
https://openalex.org/I10058456,13
https://openalex.org/I100621029,14
https://openalex.org/I100625452,24
https://openalex.org/I100633361,351
https://openalex.org/I100651130,4
https://openalex.org/I100681346,8
https://openalex.org/I10071219,1
https://openalex.org/I100722782,233
https://openalex.org/I100734958,1
https://openalex.org/I100739150,3
https://openalex.org/I100749904,3
https://openalex.org/I100755821,3
https://openalex.org/I100799951,3
https://openalex.org/I100801824,394
https://openalex.org/I100810301,68
https://openalex.org/I100823543,32
https://openalex.org/I100855879,1
https://openalex.org/I100887729,383
https://openalex.org/I100905697,35
https://openalex.org/I100910358,3
https://openalex.org/I10091056,854
https://openalex.org/I100930933,2496
https://openalex.org/I101072179,3
https://openalex.org/I10108243,2
https://openalex.org/I10108838,16
https://openalex.org/I101100930,629
https://openalex.org/I101155339,56
https://openalex.org/I101162549,1
https://openalex.org/I101202996,547
https://openalex.org/I101240087,15
https://openalex.org/I101286899,1
https://openalex.org/I101290598,61
https://openalex.org/I101314368,4
https://openalex.org/I101326570,55
https://openalex.org/I101343708,2
https://openalex.org/I101407740,618
https://openalex.org/I101450707,1
https://openalex.org/I101465142,32
https://openalex.org/I101466613,1
https://openalex.org/I101479585,1336
https://openalex.org/I101527212,50
https://openalex.org/I101659749,2
https://openalex.org/I101736444,4
https://openalex.org/I101745035,9
https://openalex.org/I101764726,57
https://openalex.org/I101786783,2
https://openalex.org/I10180231,81
https://openalex.org/I101821357,9
https://openalex.org/I101840525,13
https://openalex.org/I101890099,9
https://openalex.org/I101942270,1
https://openalex.org/I101979096,48
https://openalex.org/I101993903,26
https://openalex.org/I102015815,43
https://openalex.org/I102064193,1529
https://openalex.org/I102065260,6
https://openalex.org/I102101047,4
https://openalex.org/I102117144,404
https://openalex.org/I102134673,1612
https://openalex.org/I10213569,13
https://openalex.org/I102149020,1495
https://openalex.org/I102179633,52
https://openalex.org/I102190016,15
https://openalex.org/I102197404,1014
https://openalex.org/I102208913,335
https://openalex.org/I102239671,2
https://openalex.org/I102248843,244
https://openalex.org/I102254642,19
https://openalex.org/I102262993,8
https://openalex.org/I102272798,105
https://openalex.org/I102298084,28
https://openalex.org/I102322052,105
https://openalex.org/I102322142,5714
https://openalex.org/I102323517,4
https://openalex.org/I10232997,70
https://openalex.org/I102335020,4461
https://openalex.org/I102345215,751
https://openalex.org/I102347383,2
https://openalex.org/I102373834,25
https://openalex.org/I102379361,84
https://openalex.org/I102398690,25
https://openalex.org/I102401767,383
https://openalex.org/I102420622,2
https://openalex.org/I102451721,2
https://openalex.org/I10245363,67
https://openalex.org/I102458738,6
https://openalex.org/I102461120,570
https://openalex.org/I102471911,15
https://openalex.org/I102475099,392
https://openalex.org/I102502594,332
https://openalex.org/I102507086,11
https://openalex.org/I102516824,366
https://openalex.org/I102520234,100
https://openalex.org/I102520776,2
https://openalex.org/I102541696,11
https://openalex.org/I102541862,167
https://openalex.org/I102555177,11
https://openalex.org/I102607778,215
https://openalex.org/I10266757,1
https://openalex.org/I102669525,94
https://openalex.org/I102716817,30
https://openalex.org/I102743436,18
https://openalex.org/I102782458,545
https://openalex.org/I102786147,181
https://openalex.org/I102799917,23
https://openalex.org/I102808428,18
https://openalex.org/I102822971,27
https://openalex.org/I102826571,25
https://openalex.org/I102839717,157
https://openalex.org/I10285697,1
https://openalex.org/I102857964,5
https://openalex.org/I102882674,133
https://openalex.org/I102893293,342
https://openalex.org/I102900740,2
https://openalex.org/I102913810,1558
https://openalex.org/I102939073,156
https://openalex.org/I102962589,45
https://openalex.org/I103003218,3
https://openalex.org/I103004294,1
https://openalex.org/I103031861,127
https://openalex.org/I103043317,6
https://openalex.org/I103084370,30
https://openalex.org/I103087548,59
https://openalex.org/I103104989,3
https://openalex.org/I103114056,11
https://openalex.org/I103146751,21
https://openalex.org/I103163165,1959
https://openalex.org/I103167339,77
https://openalex.org/I103187081,110
https://openalex.org/I103193709,30
https://openalex.org/I103213266,9
https://openalex.org/I103225651,71
https://openalex.org/I103250015,11
https://openalex.org/I103261469,4
https://openalex.org/I103320735,629
https://openalex.org/I103356709,552
https://openalex.org/I103365165,27
https://openalex.org/I103390050,242
https://openalex.org/I103402955,84
https://openalex.org/I103406327,38
https://openalex.org/I10342815,3
https://openalex.org/I103429306,1
https://openalex.org/I103434671,300
https://openalex.org/I103481513,5
https://openalex.org/I103497121,11
https://openalex.org/I103527128,10
https://openalex.org/I103531236,223
https://openalex.org/I103547593,9
https://openalex.org/I103562704,31
https://openalex.org/I103583917,80
https://openalex.org/I103605065,12
https://openalex.org/I103605164,53
https://openalex.org/I103609485,1
https://openalex.org/I103635307,1990
https://openalex.org/I103693902,1
https://openalex.org/I103698008,3
https://openalex.org/I103703290,724
https://openalex.org/I103716689,1
https://openalex.org/I103720208,81
https://openalex.org/I103737770,91
https://openalex.org/I103775301,675
https://openalex.org/I103850315,1
https://openalex.org/I103855431,11
https://openalex.org/I103890011,61
https://openalex.org/I103893186,3
https://openalex.org/I103911934,183
https://openalex.org/I103922791,53
https://openalex.org/I103956831,8
https://openalex.org/I103990859,33
https://openalex.org/I104005692,2
https://openalex.org/I104117993,6
https://openalex.org/I104146711,12
https://openalex.org/I104201611,22
https://openalex.org/I10420973,9
https://openalex.org/I10421873,9
https://openalex.org/I104234503,44
https://openalex.org/I104338594,436
https://openalex.org/I104362916,2
https://openalex.org/I104411113,8
https://openalex.org/I104482861,13
https://openalex.org/I10452050,1
https://openalex.org/I104546213,52
https://openalex.org/I104552490,5
https://openalex.org/I10457146,463
https://openalex.org/I104579289,5
https://openalex.org/I104588304,101
https://openalex.org/I104628220,11
https://openalex.org/I104651037,23
https://openalex.org/I104658917,5
https://openalex.org/I104778310,3
https://openalex.org/I104817121,413
https://openalex.org/I104854061,137
https://openalex.org/I10488764,2
https://openalex.org/I104906788,19
https://openalex.org/I1049131,8
https://openalex.org/I104914703,227
https://openalex.org/I104917982,6
https://openalex.org/I104941359,48
https://openalex.org/I104946051,631
https://openalex.org/I104954885,42
https://openalex.org/I10496686,30
https://openalex.org/I105036370,989
https://openalex.org/I105056648,61
https://openalex.org/I105086349,131
https://openalex.org/I105094715,1072
https://openalex.org/I105126617,28
https://openalex.org/I105140100,183
https://openalex.org/I105201765,12
https://openalex.org/I10520737,7
https://openalex.org/I105208703,3
https://openalex.org/I105292261,23
https://openalex.org/I105296287,114
https://openalex.org/I105333472,17
https://openalex.org/I105340510,1
https://openalex.org/I10535382,3440
https://openalex.org/I105410415,1
https://openalex.org/I10541126,95
https://openalex.org/I105419764,4
https://openalex.org/I105454292,1441
https://openalex.org/I105496786,5
https://openalex.org/I105559250,1
https://openalex.org/I105604004,2
https://openalex.org/I105695857,151
https://openalex.org/I105696783,4
https://openalex.org/I10572248,51
https://openalex.org/I105726837,2
https://openalex.org/I105818395,374
https://openalex.org/I105862471,2
https://openalex.org/I105925353,776
https://openalex.org/I10595761,27
https://openalex.org/I105991555,264
https://openalex.org/I106053113,17
https://openalex.org/I10605539,1
https://openalex.org/I106073371,3
https://openalex.org/I106079672,803
https://openalex.org/I106099507,1
https://openalex.org/I106107269,19
https://openalex.org/I106110158,2
https://openalex.org/I106118109,884
https://openalex.org/I106124102,6
https://openalex.org/I106157433,667
https://openalex.org/I106165777,4070
https://openalex.org/I106241608,2
https://openalex.org/I106245021,95
https://openalex.org/I106248238,1
https://openalex.org/I10627620,4
https://openalex.org/I106296451,128
https://openalex.org/I106306868,214
https://openalex.org/I106349282,21
https://openalex.org/I10640828,7
https://openalex.org/I106437751,7
https://openalex.org/I106460735,3
https://openalex.org/I106465526,2
https://openalex.org/I106476069,1
https://openalex.org/I106530797,10
https://openalex.org/I10654025,202
https://openalex.org/I106542073,695
https://openalex.org/I106601093,7
https://openalex.org/I10660446,2180
https://openalex.org/I106618798,30
https://openalex.org/I106645853,1125
https://openalex.org/I106663880,258
https://openalex.org/I106718257,4
https://openalex.org/I106745318,106
https://openalex.org/I106778892,329
https://openalex.org/I106785703,380
https://openalex.org/I106791491,15
https://openalex.org/I106814784,13
https://openalex.org/I106826634,326
https://openalex.org/I106841677,42
https://openalex.org/I106845459,7
https://openalex.org/I106887733,20
