id,ai_papers
https://openalex.org/I100005738,27
https://openalex.org/I100066346,46
https://openalex.org/I100072489,4
https://openalex.org/I10011244,6
https://openalex.org/I100116408,2
https://openalex.org/I100135526,2
https://openalex.org/I100148100,1
https://openalex.org/I100188998,83
https://openalex.org/I100236772,1
https://openalex.org/I10024668,11
https://openalex.org/I100286613,14
https://openalex.org/I100296615,4
https://openalex.org/I100357981,2
https://openalex.org/I100406981,3
https://openalex.org/I10052268,10
https://openalex.org/I100532134,4
https://openalex.org/I100538780,3
https://openalex.org/I100633361,4
https://openalex.org/I100651130,2
https://openalex.org/I100722782,1
https://openalex.org/I100801824,7
https://openalex.org/I100887729,19
https://openalex.org/I10091056,3
https://openalex.org/I100930933,47
https://openalex.org/I101100930,3
https://openalex.org/I101155339,1
https://openalex.org/I101202996,25
https://openalex.org/I101407740,1
https://openalex.org/I101479585,11
https://openalex.org/I101527212,4
https://openalex.org/I101764726,4
https://openalex.org/I10180231,3
https://openalex.org/I102064193,29
https://openalex.org/I102117144,6
https://openalex.org/I102134673,28
https://openalex.org/I102149020,23
https://openalex.org/I102179633,3
https://openalex.org/I102197404,23
https://openalex.org/I102208913,14
https://openalex.org/I102248843,7
https://openalex.org/I102322052,2
https://openalex.org/I102322142,107
https://openalex.org/I10232997,7
https://openalex.org/I102335020,94
https://openalex.org/I102345215,30
https://openalex.org/I102373834,1
https://openalex.org/I102379361,1
https://openalex.org/I102401767,29
https://openalex.org/I102461120,18
https://openalex.org/I102475099,34
https://openalex.org/I102502594,13
https://openalex.org/I102516824,4
https://openalex.org/I102520234,16
https://openalex.org/I102607778,3
https://openalex.org/I102669525,3
https://openalex.org/I102743436,1
https://openalex.org/I102782458,4
https://openalex.org/I102786147,3
https://openalex.org/I102808428,4
https://openalex.org/I102839717,16
https://openalex.org/I102882674,6
https://openalex.org/I102893293,1
https://openalex.org/I102913810,38
https://openalex.org/I102939073,2
https://openalex.org/I102962589,4
https://openalex.org/I103084370,1
https://openalex.org/I103104989,2
https://openalex.org/I103163165,31
https://openalex.org/I103187081,1
https://openalex.org/I103213266,3
https://openalex.org/I103225651,11
https://openalex.org/I103320735,2
https://openalex.org/I103356709,12
https://openalex.org/I103390050,1
https://openalex.org/I103434671,8
https://openalex.org/I103527128,1
https://openalex.org/I103531236,6
https://openalex.org/I103583917,1
https://openalex.org/I103605164,1
https://openalex.org/I103635307,50
https://openalex.org/I103703290,30
https://openalex.org/I103720208,8
https://openalex.org/I103737770,1
https://openalex.org/I103775301,31
https://openalex.org/I103890011,1
https://openalex.org/I103922791,1
https://openalex.org/I104117993,1
https://openalex.org/I104338594,4
https://openalex.org/I104411113,1
https://openalex.org/I10457146,12
https://openalex.org/I104579289,1
https://openalex.org/I104588304,1
https://openalex.org/I104817121,2
https://openalex.org/I104854061,4
https://openalex.org/I1049131,3
https://openalex.org/I104914703,16
https://openalex.org/I104946051,22
https://openalex.org/I104954885,1
https://openalex.org/I10496686,2
https://openalex.org/I105036370,14
https://openalex.org/I105086349,1
https://openalex.org/I105094715,14
https://openalex.org/I105126617,2
https://openalex.org/I10520737,3
https://openalex.org/I105292261,2
https://openalex.org/I10535382,35
https://openalex.org/I105454292,8
https://openalex.org/I105695857,6
https://openalex.org/I10572248,6
https://openalex.org/I105818395,11
https://openalex.org/I105925353,20
https://openalex.org/I105991555,27
https://openalex.org/I106079672,16
https://openalex.org/I106118109,25
https://openalex.org/I106157433,6
https://openalex.org/I106165777,52
https://openalex.org/I106245021,3
https://openalex.org/I106306868,6
https://openalex.org/I106542073,19
https://openalex.org/I106601093,1
https://openalex.org/I10660446,114
https://openalex.org/I106645853,17
https://openalex.org/I106663880,3
https://openalex.org/I106745318,4
https://openalex.org/I106785703,23
https://openalex.org/I106814784,4
https://openalex.org/I106826634,2
https://openalex.org/I106841677,1
https://openalex.org/I106938459,26
https://openalex.org/I106959904,5
https://openalex.org/I106969075,11
https://openalex.org/I106994412,14
https://openalex.org/I107049736,42
https://openalex.org/I107077323,26
https://openalex.org/I107139324,2
https://openalex.org/I107182072,1
https://openalex.org/I107257983,7
https://openalex.org/I107371206,1
https://openalex.org/I107428990,11
https://openalex.org/I107470533,30
https://openalex.org/I107502644,7
https://openalex.org/I107551365,1
https://openalex.org/I107575416,3
https://openalex.org/I107606265,21
https://openalex.org/I107613613,17
https://openalex.org/I107639228,30
https://openalex.org/I107656453,3
https://openalex.org/I107668806,5
https://openalex.org/I107672454,56
https://openalex.org/I10767319,10
https://openalex.org/I107701971,2
https://openalex.org/I107707843,2
https://openalex.org/I107720978,59
https://openalex.org/I107766831,2
https://openalex.org/I107851509,1
https://openalex.org/I107853901,16
https://openalex.org/I107920810,1
https://openalex.org/I107949126,24
https://openalex.org/I107982497,12
https://openalex.org/I108103353,57
https://openalex.org/I108108428,13
https://openalex.org/I108160477,17
https://openalex.org/I108169390,1
https://openalex.org/I108192572,9
https://openalex.org/I10822131,1
https://openalex.org/I10824318,9
https://openalex.org/I108245028,1
https://openalex.org/I108290504,37
https://openalex.org/I108377105,2
https://openalex.org/I108403487,71
https://openalex.org/I108468826,60
https://openalex.org/I108511484,1
https://openalex.org/I108526665,7
https://openalex.org/I108688024,25
https://openalex.org/I108714496,16
https://openalex.org/I10874241,25
https://openalex.org/I108743333,4
https://openalex.org/I108754898,10
https://openalex.org/I108785884,1
https://openalex.org/I108865366,1
https://openalex.org/I108904480,23
https://openalex.org/I10899854,3
https://openalex.org/I109004778,4
https://openalex.org/I10902133,33
https://openalex.org/I109147379,4
https://openalex.org/I109173049,1
https://openalex.org/I109289231,6
https://openalex.org/I109297418,8
https://openalex.org/I109362141,1
https://openalex.org/I109493002,1
https://openalex.org/I109780856,2
https://openalex.org/I109830273,1
https://openalex.org/I109935558,49
https://openalex.org/I109954829,16
https://openalex.org/I109995039,1
https://openalex.org/I110002522,33
https://openalex.org/I110017253,18
https://openalex.org/I110026055,12
https://openalex.org/I110079840,12
https://openalex.org/I110109458,8
https://openalex.org/I110116418,8
https://openalex.org/I110120368,18
https://openalex.org/I110152177,15
https://openalex.org/I110166357,23
https://openalex.org/I11019714,56
https://openalex.org/I110200422,60
https://openalex.org/I110217816,3
https://openalex.org/I1102219,1
https://openalex.org/I110263422,1
https://openalex.org/I110273157,11
https://openalex.org/I110325482,1
https://openalex.org/I110357561,31
https://openalex.org/I110360157,1
https://openalex.org/I110378019,14
https://openalex.org/I110440473,31
https://openalex.org/I110454016,9
https://openalex.org/I110525433,464
https://openalex.org/I110534114,9
https://openalex.org/I110594554,3
https://openalex.org/I110617504,1
https://openalex.org/I110675161,14
https://openalex.org/I110736937,26
https://openalex.org/I110757952,31
https://openalex.org/I110883965,2
https://openalex.org/I110930757,1
https://openalex.org/I110995367,2
https://openalex.org/I111088046,60
https://openalex.org/I111112146,22
https://openalex.org/I111149068,11
https://openalex.org/I111195156,4
https://openalex.org/I111199411,5
https://openalex.org/I111236770,9
https://openalex.org/I111262870,9
https://openalex.org/I111277659,42
https://openalex.org/I111455621,3
https://openalex.org/I111575329,12
https://openalex.org/I111599522,134
https://openalex.org/I111664937,9
https://openalex.org/I111753288,43
https://openalex.org/I1118541,17
https://openalex.org/I111950717,4
https://openalex.org/I111966504,28
https://openalex.org/I111971639,26
https://openalex.org/I111979921,117
https://openalex.org/I112080488,4
https://openalex.org/I112090838,1
https://openalex.org/I112193423,2
https://openalex.org/I112260969,16
https://openalex.org/I112450260,3
https://openalex.org/I112475681,1
https://openalex.org/I112524849,2
https://openalex.org/I112532030,2
https://openalex.org/I112536369,27
https://openalex.org/I11265461,1
https://openalex.org/I112713213,2
https://openalex.org/I112728665,5
https://openalex.org/I112862951,20
https://openalex.org/I112898310,1
https://openalex.org/I112936343,8
https://openalex.org/I113171187,1
https://openalex.org/I113306721,40
https://openalex.org/I113389987,7
https://openalex.org/I113409471,4
https://openalex.org/I113428412,5
https://openalex.org/I113463164,2
https://openalex.org/I113643904,4
https://openalex.org/I11368126,3
https://openalex.org/I113686770,1
https://openalex.org/I11385950,2
https://openalex.org/I113940042,192
https://openalex.org/I113979032,4
https://openalex.org/I114017466,192
https://openalex.org/I114027177,85
https://openalex.org/I114030911,1
https://openalex.org/I11406153,2
https://openalex.org/I114090438,46
https://openalex.org/I114112103,55
https://openalex.org/I114117164,19
https://openalex.org/I1141210,4
https://openalex.org/I114131015,7
https://openalex.org/I114132059,1
https://openalex.org/I114150738,21
https://openalex.org/I114202661,3
https://openalex.org/I114218197,3
https://openalex.org/I114234892,9
https://openalex.org/I114282444,1
https://openalex.org/I114321285,1
https://openalex.org/I114376631,6
https://openalex.org/I114395901,28
https://openalex.org/I114432228,3
https://openalex.org/I114432678,1
https://openalex.org/I114457229,56
https://openalex.org/I114492817,10
https://openalex.org/I114531698,81
https://openalex.org/I114555603,5
https://openalex.org/I114602248,1
https://openalex.org/I114756412,9
https://openalex.org/I114772536,3
https://openalex.org/I114794399,4
https://openalex.org/I114832834,3
https://openalex.org/I114845381,20
https://openalex.org/I114963175,1
https://openalex.org/I114972647,11
https://openalex.org/I114982161,13
https://openalex.org/I114982338,3
https://openalex.org/I115076166,8
https://openalex.org/I115212828,2
https://openalex.org/I115228651,72
https://openalex.org/I115364640,2
https://openalex.org/I115474868,18
https://openalex.org/I115475287,35
https://openalex.org/I115498069,1
https://openalex.org/I115506172,1
https://openalex.org/I115566878,27
https://openalex.org/I115570527,27
