target,origin,weight
Aerodynamics,Physics,1
Aerospace engineering,Biology,1
Aerospace engineering,Engineering,1
Aerospace engineering,Physics,1
Agronomy,Biology,1
Agronomy,Computer science,1
Agronomy,Physics,1
Algorithm,Biology,3
Algorithm,Computer science,1
Algorithm,Engineering,3
Algorithm,Medicine,1
Algorithm,Physics,3
Anthropology,Computer science,1
Anthropology,Speech recognition,1
Art,Biology,151
Art,Chemistry,4
Art,Computer science,43
Art,Economics,2
Art,Engineering,21
Art,Geography,2
Art,Geology,1
Art,Materials science,2
Art,Mathematics,1
Art,Medicine,30
Art,Philosophy,16
Art,Physics,35
Art,Political science,6
Art,Psychology,3
Artificial intelligence,Biology,6
Artificial intelligence,Chemistry,1
Artificial intelligence,Computer science,11
Artificial intelligence,Engineering,3
Artificial intelligence,Medicine,2
Artificial intelligence,Physics,11
Artificial intelligence,Political science,1
Astronomy,Biology,1
Astronomy,Computer science,1
Astronomy,Physics,1
Biochemistry,Biology,4
Biochemistry,Medicine,2
Biochemistry,Physics,1
Bioinformatics,Biology,1
Bioinformatics,Medicine,1
Biology,Business,232
Biology,Chemistry,18517
Biology,Clipping (morphology),1
Biology,Cognition,2
Biology,Cognitive psychology,6
Biology,Comorbidity,2
Biology,Composite material,2
Biology,Computer hardware,1
Biology,Computer network,1
Biology,Computer science,87643
Biology,Computer security,1
Biology,Computer vision,2
Biology,Condensed matter physics,1
Biology,Creativity,1
Biology,Crystallography,1
Biology,Disease,2
Biology,Docking (animal),1
Biology,Ecology,16
Biology,Economics,5614
Biology,Electrical engineering,2
Biology,Electricity,1
Biology,Endocrinology,1
Biology,Engineering,35015
Biology,Environmental science,19
Biology,Exome sequencing,1
Biology,Field (mathematics),1
Biology,Finance,1
Biology,Gene,1
Biology,Genetic structure,1
Biology,Genetics,12
Biology,Geography,280
Biology,Geology,2883
Biology,Geometry,2
Biology,Geophysics,1
Biology,Harmony search,1
Biology,History,26
Biology,Homophily,2
Biology,Humanities,2
Biology,Human–computer interaction,1
Biology,Immune system,3
Biology,Immunology,1
Biology,Industrial organization,1
Biology,Information retrieval,3
Biology,Internal medicine,22
Biology,Law,4
Biology,Linguistics,1
Biology,Management,1
Biology,Materials science,371
Biology,Mathematical optimization,1
Biology,Mathematics,1985
Biology,Medicine,72636
Biology,Nanomedicine,1
Biology,Neuroscience,1
Biology,Operating system,1
Biology,Operationalization,1
Biology,Optics,1
Biology,Organic chemistry,3
Biology,Pathology,6
Biology,Philosophy,2285
Biology,Physical layer,1
Biology,Physical therapy,2
Biology,Physics,143975
Biology,Place of death,2
Biology,Political science,2126
Biology,Porosity,1
Biology,Programming language,1
Biology,Psychiatry,1
Biology,Psychoanalysis,3
Biology,Psychology,3226
Biology,Public administration,1
Biology,Public relations,1
Biology,Quality of service,1
Biology,Quantum mechanics,16
Biology,Seismology,1
Biology,Semantic Web,1
Biology,Social science,2
Biology,Sociology,26
Biology,Statistics,4
Biology,Surgery,2
Biology,Virology,2
Biology,White matter,2
Biophysics,Physics,1
Business,Chemistry,23
Business,Computer science,146
Business,Economics,71
Business,Engineering,52
Business,Materials science,1
Business,Mathematics,3
Business,Medicine,62
Business,Philosophy,8
Business,Physics,159
Business,Political science,17
Business,Psychology,17
Chemistry,Computer science,8332
Chemistry,Economics,416
Chemistry,Engineering,6311
Chemistry,Food science,1
Chemistry,Genetic structure,1
Chemistry,Genetics,2
Chemistry,Geography,23
Chemistry,Geology,234
Chemistry,History,2
Chemistry,Internal medicine,1
Chemistry,Materials science,70
Chemistry,Mathematics,223
Chemistry,Medicine,3212
Chemistry,Operating system,1
Chemistry,Pathology,1
Chemistry,Pattern recognition (psychology),2
Chemistry,Philosophy,53
Chemistry,Physics,15607
Chemistry,Political science,99
Chemistry,Psychology,133
Chemistry,Quantum mechanics,1
Chemistry,Smoothing,1
Chemistry,Sociology,4
Clipping (morphology),Computer science,1
Cognition,Economics,1
Cognition,Physics,1
Cognitive psychology,Computer science,2
Cognitive psychology,Medicine,6
Comorbidity,Medicine,2
Composite material,Engineering,1
Computer hardware,Computer science,1
Computer hardware,Medicine,1
Computer network,Computer science,1
Computer network,Economics,1
Computer science,Computer security,2
Computer science,Computer vision,2
Computer science,Creativity,1
Computer science,Disease,2
Computer science,Ecology,6
Computer science,Economic growth,1
Computer science,Economics,2309
Computer science,Electrical engineering,1
Computer science,Electricity,1
Computer science,Engineering,20722
Computer science,Environmental science,5
Computer science,Genetic structure,1
Computer science,Geography,74
Computer science,Geography of robotics,1
Computer science,Geology,574
Computer science,Geometry,2
Computer science,History,14
Computer science,Humanities,1
Computer science,Human–computer interaction,1
Computer science,Immune system,1
Computer science,Industrial organization,1
Computer science,Internal medicine,4
Computer science,Law,3
Computer science,Linguistics,1
Computer science,Machine learning,1
Computer science,Management,1
Computer science,Materials science,164
Computer science,Mathematics,974
Computer science,Mathematics education,1
Computer science,Mechanical engineering,1
Computer science,Medicine,20191
Computer science,Operations management,1
Computer science,Organic chemistry,1
Computer science,Orthodontics,1
Computer science,Philosophy,508
Computer science,Physics,66940
Computer science,Place of death,2
Computer science,Political science,816
Computer science,Programming language,1
Computer science,Psychoanalysis,2
Computer science,Psychology,1180
Computer science,Quantum mechanics,10
Computer science,Seismology,1
Computer science,Sociology,12
Computer science,Speech recognition,1
Computer science,Statistics,1
Computer science,Surgery,1
Computer science,Telecommunications,2
Computer science,Thermodynamics,1
Computer science,Transport engineering,1
Computer science,World Wide Web,1
Computer security,Engineering,1
Computer security,Medicine,1
Condensed matter physics,Physics,1
Creativity,Medicine,1
Creativity,Philosophy,1
Creativity,Physics,1
Crystallography,Physics,1
Cyber-attack,Engineering,1
Data mining,Physics,1
Ecology,Geology,5
Ecology,Medicine,3
Ecology,Physics,8
Ecology,Political science,3
Economics,Engineering,922
Economics,Field (mathematics),1
Economics,Geography,4
Economics,Geology,41
Economics,History,1
Economics,Materials science,5
Economics,Mathematics,83
Economics,Medicine,1448
Economics,Philosophy,32
Economics,Physics,3601
Economics,Political science,234
Economics,Psychology,91
Economics,Sociology,2
Efficient energy use,Engineering,1
Efficient energy use,Physics,1
Electrical engineering,Medicine,1
Electrical engineering,Physics,2
Electricity generation,Engineering,1
Endocrinology,Physics,1
Engineering,Field (mathematics),1
Engineering,Genetics,1
Engineering,Geography,62
Engineering,Geology,623
Engineering,History,2
Engineering,Horticulture,1
Engineering,Humanities,1
Engineering,Image processing,1
Engineering,Immune system,1
Engineering,Information retrieval,1
Engineering,Materials science,109
Engineering,Mathematics,394
Engineering,Mathematics education,1
Engineering,Medicine,5502
Engineering,Operating system,1
Engineering,Pathology,1
Engineering,Philosophy,111
Engineering,Physical layer,1
Engineering,Physics,30773
Engineering,Political science,310
Engineering,Population statistics,1
Engineering,Porosity,1
Engineering,Psychology,365
Engineering,Quantum mechanics,4
Engineering,Sociology,3
Engineering,World Wide Web,1
Environmental engineering,Physics,1
Environmental science,Geology,1
Environmental science,Medicine,5
Environmental science,Physics,4
Environmental science,Psychology,1
Exome sequencing,Medicine,1
Field (mathematics),Physics,1
Fishery,Medicine,3
Food science,Physics,1
Genetics,Medicine,14
Genetics,Philosophy,1
Geography,Geology,30
Geography,History,1
Geography,Mathematics,3
Geography,Medicine,29
Geography,Philosophy,5
Geography,Physics,201
Geography,Political science,3
Geography,Psychology,2
Geography,Sociology,1
Geology,Geophysics,1
Geology,History,1
Geology,Materials science,4
Geology,Mathematics,12
Geology,Medicine,203
Geology,Philosophy,13
Geology,Physics,1817
Geology,Political science,15
Geology,Porosity,1
Geology,Psychology,22
Geometry,Physics,2
Geophysics,Physics,1
History,Medicine,3
History,Physics,14
History,Psychology,1
Homophily,Medicine,2
Homophily,Physics,2
Humanities,Physics,1
Image processing,Physics,1
Immune system,Medicine,2
Immune system,Physics,2
Immunology,Medicine,1
Information retrieval,Medicine,1
Internal medicine,Medicine,23
Internal medicine,Pathology,1
Internal medicine,Physics,9
Joint (building),Medicine,1
Law,Medicine,1
Law,Physics,1
Linguistics,Medicine,3
Linguistics,Physics,4
Materials science,Mathematics,4
Materials science,Medicine,51
Materials science,Philosophy,4
Materials science,Physics,387
Materials science,Psychology,1
Mathematics,Medicine,476
Mathematics,Philosophy,16
Mathematics,Physics,1730
Mathematics,Political science,15
Mathematics,Psychology,18
Mathematics,Sociology,1
Mechanical engineering,Physics,1
Mechanics,Physics,1
Medical imaging,Physics,1
Medicine,Nuclear medicine,2
Medicine,Operating system,1
Medicine,Pathology,5
Medicine,Pattern recognition (psychology),2
Medicine,Philosophy,510
