target,origin,weight
Afghanistan,Australia,1
Afghanistan,Brazil,1
Afghanistan,China,6
Afghanistan,Colombia,1
Afghanistan,Ethiopia,1
Afghanistan,France,1
Afghanistan,India,11
Afghanistan,Indonesia,3
Afghanistan,Iran,1
Afghanistan,Iraq,4
Afghanistan,Japan,3
Afghanistan,Jordan,1
Afghanistan,Malaysia,2
Afghanistan,Myanmar,1
Afghanistan,Pakistan,3
Afghanistan,Russia,2
Afghanistan,Saudi Arabia,7
Afghanistan,Slovakia,1
Afghanistan,Sudan,1
Afghanistan,Thailand,1
Afghanistan,Turkey,1
Afghanistan,United Kingdom,1
Afghanistan,United States,1
Albania,Algeria,1
Albania,Argentina,1
Albania,Australia,3
Albania,Austria,2
Albania,Belarus,2
Albania,Belgium,4
Albania,Bosnia and Herzegovina,4
Albania,Brazil,4
Albania,Bulgaria,2
Albania,Canada,7
Albania,China,14
Albania,Croatia,1
Albania,Cyprus,4
Albania,Czechia,2
Albania,Denmark,3
Albania,Egypt,1
Albania,Finland,4
Albania,France,5
Albania,Germany,12
Albania,Greece,9
Albania,Iceland,2
Albania,India,4
Albania,Israel,1
Albania,Italy,18
Albania,Japan,5
Albania,Jordan,1
Albania,Kosovo,1
Albania,Mexico,1
Albania,Netherlands,2
Albania,Nigeria,10
Albania,North Macedonia,8
Albania,Norway,3
Albania,Pakistan,9
Albania,Poland,2
Albania,Qatar,2
Albania,Romania,3
Albania,Russia,20
Albania,Saudi Arabia,1
Albania,Serbia,2
Albania,Slovakia,3
Albania,Slovenia,4
Albania,South Korea,3
Albania,Spain,15
Albania,Switzerland,1
Albania,Syria,1
Albania,Taiwan,2
Albania,Turkey,3
Albania,Ukraine,1
Albania,United Arab Emirates,13
Albania,United Kingdom,20
Albania,United States,24
Algeria,Australia,5
Algeria,Austria,1
Algeria,Bangladesh,3
Algeria,Belgium,13
Algeria,Brazil,3
Algeria,Cameroon,2
Algeria,Canada,46
Algeria,China,57
Algeria,Colombia,5
Algeria,Cyprus,4
Algeria,Czechia,4
Algeria,Denmark,1
Algeria,Ecuador,1
Algeria,Egypt,18
Algeria,Finland,17
Algeria,France,297
Algeria,Georgia,12
Algeria,Germany,14
Algeria,Ghana,1
Algeria,Hungary,3
Algeria,India,25
Algeria,Iran,36
Algeria,Iraq,4
Algeria,Ireland,2
Algeria,Italy,20
Algeria,Japan,6
Algeria,Jordan,15
Algeria,Kuwait,6
Algeria,Lebanon,1
Algeria,Malaysia,12
Algeria,Mexico,2
Algeria,Mongolia,3
Algeria,Morocco,5
Algeria,Nepal,1
Algeria,Netherlands,1
Algeria,New Zealand,1
Algeria,Nigeria,1
Algeria,Norway,13
Algeria,Oman,3
Algeria,Pakistan,9
Algeria,Palestinian Territory,1
Algeria,Poland,1
Algeria,Portugal,3
Algeria,Qatar,8
Algeria,Romania,2
Algeria,Russia,2
Algeria,Rwanda,1
Algeria,Saudi Arabia,64
Algeria,Serbia,1
Algeria,Singapore,2
Algeria,Slovakia,6
Algeria,Slovenia,1
Algeria,South Africa,1
Algeria,South Korea,13
Algeria,Spain,34
Algeria,Sweden,6
Algeria,Switzerland,4
Algeria,Taiwan,2
Algeria,Thailand,1
Algeria,Tunisia,19
Algeria,Turkey,9
Algeria,United Arab Emirates,24
Algeria,United Kingdom,40
Algeria,United States,83
Algeria,Vietnam,27
Algeria,Zambia,1
Angola,Portugal,2
Antigua and Barbuda,Australia,1
Antigua and Barbuda,Austria,3
Antigua and Barbuda,Belgium,1
Antigua and Barbuda,Brazil,26
Antigua and Barbuda,Cambodia,2
Antigua and Barbuda,Canada,1
Antigua and Barbuda,France,4
Antigua and Barbuda,Germany,3
Antigua and Barbuda,India,3
Antigua and Barbuda,Israel,1
Antigua and Barbuda,Italy,4
Antigua and Barbuda,Japan,1
Antigua and Barbuda,Netherlands,2
Antigua and Barbuda,Serbia,1
Antigua and Barbuda,Singapore,2
Antigua and Barbuda,Switzerland,2
Antigua and Barbuda,Tunisia,1
Antigua and Barbuda,Turkey,18
Antigua and Barbuda,United Kingdom,7
Antigua and Barbuda,United States,15
Argentina,Australia,32
Argentina,Austria,20
Argentina,Azerbaijan,5
Argentina,Bahamas,1
Argentina,Belgium,23
Argentina,Bolivia,1
Argentina,Bosnia and Herzegovina,1
Argentina,Brazil,228
Argentina,Bulgaria,3
Argentina,Canada,60
Argentina,Chile,55
Argentina,China,29
Argentina,Colombia,50
Argentina,Costa Rica,3
Argentina,Croatia,2
Argentina,Cuba,6
Argentina,Cyprus,1
Argentina,Czechia,15
Argentina,Denmark,24
Argentina,Dominican Republic,1
Argentina,Ecuador,33
Argentina,Egypt,1
Argentina,Estonia,2
Argentina,Finland,7
Argentina,France,142
Argentina,Germany,90
Argentina,Greece,14
Argentina,Guatemala,1
Argentina,Honduras,1
Argentina,Hungary,2
Argentina,India,18
Argentina,Indonesia,1
Argentina,Iran,56
Argentina,Ireland,5
Argentina,Israel,21
Argentina,Italy,73
Argentina,Japan,19
Argentina,Kenya,2
Argentina,Lithuania,1
Argentina,Luxembourg,2
Argentina,Malaysia,2
Argentina,Mali,1
Argentina,Malta,2
Argentina,Mexico,68
Argentina,Montenegro,1
Argentina,Morocco,3
Argentina,Netherlands,34
Argentina,New Zealand,2
Argentina,Nigeria,2
Argentina,Norway,3
Argentina,Pakistan,4
Argentina,Panama,1
Argentina,Paraguay,1
Argentina,Peru,11
Argentina,Philippines,1
Argentina,Poland,25
Argentina,Portugal,17
Argentina,Romania,8
Argentina,Russia,14
Argentina,Saudi Arabia,2
Argentina,Serbia,7
Argentina,Singapore,7
Argentina,Slovakia,7
Argentina,Slovenia,10
Argentina,South Africa,6
Argentina,South Korea,8
Argentina,Spain,292
Argentina,Sweden,25
Argentina,Switzerland,25
Argentina,Syria,1
Argentina,Taiwan,9
Argentina,Tunisia,1
Argentina,Turkey,15
Argentina,United Arab Emirates,3
Argentina,United Kingdom,97
Argentina,United States,306
Argentina,Uruguay,13
Argentina,Venezuela,3
Argentina,Vietnam,3
Armenia,Australia,1
Armenia,Austria,6
Armenia,Belarus,1
Armenia,Belgium,10
Armenia,Brazil,6
Armenia,Bulgaria,4
Armenia,Cambodia,1
Armenia,Canada,5
Armenia,China,5
Armenia,Colombia,3
Armenia,Croatia,5
Armenia,Cyprus,2
Armenia,Czechia,5
Armenia,Denmark,5
Armenia,Egypt,1
Armenia,El Salvador,1
Armenia,Estonia,1
Armenia,Ethiopia,1
Armenia,Finland,5
Armenia,France,12
Armenia,Germany,26
Armenia,Greece,3
Armenia,Hungary,2
Armenia,India,4
Armenia,Indonesia,1
Armenia,Iran,4
Armenia,Ireland,3
Armenia,Italy,13
Armenia,Japan,6
Armenia,Kenya,1
Armenia,Luxembourg,1
Armenia,Malaysia,3
Armenia,Malta,1
Armenia,Mexico,2
Armenia,Mongolia,1
Armenia,Montenegro,1
Armenia,Netherlands,3
Armenia,North Macedonia,1
Armenia,Norway,1
Armenia,Pakistan,3
Armenia,Poland,5
Armenia,Qatar,1
Armenia,Romania,3
Armenia,Russia,18
Armenia,Saudi Arabia,3
Armenia,Serbia,3
Armenia,Slovenia,5
Armenia,South Africa,1
Armenia,South Korea,5
Armenia,Spain,10
Armenia,Sweden,1
Armenia,Switzerland,12
Armenia,Taiwan,2
Armenia,Thailand,1
Armenia,Turkey,4
Armenia,United Kingdom,15
Armenia,United States,53
Armenia,Vietnam,1
Armenia,Zimbabwe,1
Australia,Austria,215
Australia,Azerbaijan,2
Australia,Bahamas,3
Australia,Bahrain,3
Australia,Bangladesh,270
Australia,Barbados,2
Australia,Belarus,1
Australia,Belgium,297
Australia,Benin,1
Australia,Bhutan,2
Australia,Bolivia,2
Australia,Bosnia and Herzegovina,6
Australia,Botswana,1
Australia,Brazil,296
Australia,British Virgin Islands,2
Australia,Brunei,9
Australia,Bulgaria,38
Australia,Burkina Faso,1
Australia,Cambodia,10
Australia,Cameroon,1
Australia,Canada,1379
Australia,Chile,60
Australia,China,8396
Australia,Colombia,41
Australia,Costa Rica,6
Australia,Croatia,22
Australia,Cuba,3
Australia,Cyprus,34
Australia,Czechia,89
Australia,Denmark,182
Australia,Dominican Republic,1
Australia,Ecuador,9
Australia,Egypt,138
Australia,Estonia,31
Australia,Ethiopia,18
Australia,Faroe Islands,2
Australia,Fiji,98
Australia,Finland,287
Australia,France,762
Australia,French Polynesia,3
Australia,Gabon,3
Australia,Georgia,10
Australia,Germany,1105
Australia,Ghana,33
Australia,Greece,112
Australia,Grenada,1
Australia,Guatemala,2
Australia,Guyana,1
Australia,Hungary,47
Australia,Iceland,17
Australia,India,930
Australia,Indonesia,120
Australia,Iran,1009
Australia,Iraq,120
Australia,Ireland,142
Australia,Israel,110
Australia,Italy,601
Australia,Ivory Coast,1
Australia,Jamaica,2
Australia,Japan,733
Australia,Jersey,1
Australia,Jordan,64
Australia,Kazakhstan,13
Australia,Kenya,18
Australia,Kosovo,1
Australia,Kuwait,24
Australia,Kyrgyzstan,3
Australia,Laos,4
Australia,Latvia,2
Australia,Lebanon,15
Australia,Libya,2
Australia,Lithuania,8
Australia,Luxembourg,35
Australia,Malawi,3
Australia,Malaysia,610
Australia,Mali,9
Australia,Malta,3
Australia,Mauritius,1
Australia,Mexico,77
Australia,Mongolia,3
Australia,Montenegro,2
Australia,Morocco,38
Australia,Mozambique,3
Australia,Myanmar,13
Australia,Namibia,1
Australia,Nepal,25
Australia,Netherlands,637
Australia,New Caledonia,1
Australia,New Zealand,475
Australia,Niger,2
Australia,Nigeria,46
Australia,North Macedonia,9
Australia,Norway,160
Australia,Oman,26
Australia,Pakistan,401
Australia,Palestinian Territory,19
Australia,Panama,2
Australia,Papua New Guinea,12
Australia,Paraguay,1
Australia,Peru,7
Australia,Philippines,41
Australia,Poland,190
Australia,Portugal,131
Australia,Qatar,132
Australia,Reunion,2
Australia,Romania,31
Australia,Russia,126
Australia,Rwanda,1
Australia,Saint Kitts and Nevis,3
Australia,Samoa,1
Australia,Saudi Arabia,368
Australia,Senegal,2
Australia,Serbia,22
Australia,Singapore,1152
Australia,Slovakia,18
Australia,Slovenia,66
Australia,Somalia,1
Australia,South Africa,378
Australia,South Korea,540
Australia,Spain,506
Australia,Sri Lanka,89
Australia,Sudan,3
Australia,Sweden,319
Australia,Switzerland,494
Australia,Syria,4
Australia,Taiwan,293
Australia,Tajikistan,1
Australia,Tanzania,17
Australia,Thailand,142
Australia,Togo,1
Australia,Tunisia,16
Australia,Turkey,123
Australia,Uganda,7
Australia,Ukraine,8
Australia,United Arab Emirates,214
Australia,United Kingdom,2915
Australia,United States,5199
Australia,Uruguay,6
Australia,Uzbekistan,2
Australia,Venezuela,2
Australia,Vietnam,256
Australia,Yemen,7
Australia,Zambia,3
Australia,Zimbabwe,7
Austria,Bangladesh,2
Austria,Barbados,1
Austria,Belarus,9
Austria,Belgium,153
Austria,Bolivia,1
Austria,Bosnia and Herzegovina,8
Austria,Brazil,83
Austria,Brunei,2
Austria,Bulgaria,17
Austria,Canada,200
Austria,Chile,15
Austria,China,207
Austria,Colombia,13
Austria,Costa Rica,2
Austria,Croatia,38
Austria,Cuba,1
Austria,Curacao,5
Austria,Cyprus,13
Austria,Czechia,181
Austria,Denmark,83
Austria,Egypt,7
Austria,Estonia,15
Austria,Ethiopia,4
Austria,Finland,87
Austria,France,254
Austria,Gabon,1
Austria,Germany,1314
Austria,Greece,72
Austria,Guatemala,2
Austria,Hungary,97
Austria,Iceland,4
Austria,India,80
Austria,Indonesia,14
Austria,Iran,68
Austria,Iraq,3
Austria,Ireland,57
Austria,Israel,77
Austria,Italy,363
Austria,Japan,77
Austria,Jordan,3
Austria,Kazakhstan,1
Austria,Kenya,5
Austria,Kosovo,2
Austria,Kyrgyzstan,2
Austria,Laos,1
Austria,Latvia,2
Austria,Lebanon,4
Austria,Libya,1
Austria,Liechtenstein,3
Austria,Lithuania,8
Austria,Luxembourg,6
Austria,Malaysia,9
Austria,Mali,2
Austria,Malta,2
Austria,Mexico,25
Austria,Mongolia,2
Austria,Montenegro,2
Austria,Morocco,4
Austria,Myanmar,1
Austria,Namibia,1
Austria,Nepal,2
Austria,Netherlands,215
Austria,New Zealand,25
Austria,Nigeria,4
Austria,North Macedonia,3
Austria,Norway,82
Austria,Pakistan,35
Austria,Peru,1
Austria,Philippines,2
Austria,Poland,100
Austria,Portugal,48
Austria,Republic of the Congo,1
Austria,Reunion,1
Austria,Romania,33
Austria,Russia,81
Austria,Saudi Arabia,21
Austria,Senegal,1
Austria,Serbia,23
Austria,Singapore,61
Austria,Slovakia,69
Austria,Slovenia,44
Austria,South Africa,20
Austria,South Korea,38
Austria,Spain,304
Austria,Sri Lanka,2
Austria,Sweden,140
Austria,Switzerland,357
Austria,Taiwan,24
Austria,Tanzania,1
Austria,Thailand,14
Austria,Turkey,31
Austria,Uganda,4
Austria,Ukraine,18
Austria,United Arab Emirates,33
Austria,United Kingdom,574
Austria,United States,1175
Austria,Uruguay,11
Austria,Vietnam,47
Austria,Zimbabwe,1
Azerbaijan,Bangladesh,1
Azerbaijan,Bosnia and Herzegovina,1
Azerbaijan,Brazil,7
Azerbaijan,Bulgaria,1
Azerbaijan,Canada,10
Azerbaijan,China,4
Azerbaijan,Colombia,1
Azerbaijan,Cyprus,10
Azerbaijan,Czechia,2
Azerbaijan,Denmark,6
Azerbaijan,Finland,1
Azerbaijan,France,8
Azerbaijan,Germany,11
Azerbaijan,Greece,6
Azerbaijan,Hungary,1
Azerbaijan,India,1
Azerbaijan,Indonesia,2
Azerbaijan,Iran,12
Azerbaijan,Iraq,3
Azerbaijan,Ireland,1
Azerbaijan,Israel,6
Azerbaijan,Italy,6
Azerbaijan,Japan,8
Azerbaijan,Kazakhstan,3
Azerbaijan,Latvia,1
Azerbaijan,Malaysia,3
Azerbaijan,Morocco,1
Azerbaijan,Mozambique,1
Azerbaijan,Netherlands,6
Azerbaijan,Oman,2
Azerbaijan,Pakistan,2
Azerbaijan,Poland,7
Azerbaijan,Portugal,6
Azerbaijan,Qatar,1
Azerbaijan,Romania,2
Azerbaijan,Russia,7
Azerbaijan,Serbia,4
Azerbaijan,Slovakia,4
Azerbaijan,South Korea,1
Azerbaijan,Spain,9
Azerbaijan,Sweden,6
Azerbaijan,Switzerland,6
Azerbaijan,Taiwan,8
