target,origin,weight
archive,company,52
archive,education,1286
archive,facility,151
archive,government,158
archive,healthcare,41
archive,nonprofit,70
archive,other,19
company,education,53109
company,facility,3812
company,government,3157
company,healthcare,2262
company,nonprofit,1654
company,other,429
education,facility,55973
education,government,66540
education,healthcare,37853
education,nonprofit,21607
education,other,5860
facility,government,5896
facility,healthcare,3001
facility,nonprofit,2644
facility,other,810
government,healthcare,2822
government,nonprofit,2165
government,other,1002
healthcare,nonprofit,2149
healthcare,other,336
nonprofit,other,326
